wallet_address,tier,roi_pct,win_rate,reason,last_activity,activity_source
2DjfP3UCLyKm2TKjbXRoL7Psz5am3mJepcW2WQnxfktv,Elite,15589.057598706473,1.0,no activity data found,,no_data
AAMnoNo3TpezKcT7ah9puLFZ4D59muEhQHJJqpX16ccg,Elite,12049.897520897433,1.0,no activity data found,,no_data
GgR86eHVxj4Q1XcpTQBjc8zUAEXQMSM3MNVUVPwDjBRd,Elite,4803.638797336451,1.0,no activity data found,,no_data
68sewYsJsHq21BVXEHdxygMZ64g2NgL9fhWyuNMMfTPA,Elite,6784.868576609923,1.0,no activity data found,,no_data
3CvGrHWNyRaaHu5GvvGfZEzTTfuCPxrnbhhZxUJGVayA,Elite,15593.992146234017,1.0,no activity data found,,no_data
ELiQVfLbXQFJMd4qrBcDStMoTdvvRvzMNP5WWmtH38BJ,Elite,14454.955352211147,1.0,no activity data found,,no_data
GyqiKP1R7TJ6HtMYvupHqFd2hgvCQ7RjnjACycEs6F8V,Elite,5768.016027783016,1.0,no activity data found,,no_data
3F43GRim9pQLkP3iCCGVdDQwUqu2HFBJLf7Uj1d3hmht,Elite,808.9427465994135,1.0,no activity data found,,no_data
XY2joC2DwF2HH1UAVUegiKYDPXLcgvXwTPZfxQRWn3k,Watchlist,-96.55393029368152,0.0,no activity data found; severe loss (-97% ROI),,no_data
3QC9xYN74CU2QmsKad6UA4vT38pi2yiKcGM72fgPePYv,Elite,412.52248953142094,1.0,no activity data found,,no_data
8rjMpGmvRbBFkDg9iS9aCqkoD9LCX1EzWgcdkLSJoQDe,Elite,702.969750685266,1.0,no activity data found,,no_data
F7saB8SL72Gjg2EMcsCem6mVE4hLutLM6k4GpesdEEa3,Elite,1446.3721743178785,1.0,no activity data found,,no_data
BphgfRx1N1DnnmNzGxSLfBirSozqZnsRPb3J6773bHBC,Elite,8681.958577853538,1.0,no activity data found,,no_data
Cf37dJJatGv37i6AwBCLxhTKi31uhSNJZWVW8R8vM2np,Elite,1138.0870525074145,1.0,no activity data found,,no_data
4xHVLyhMdUT3CTFPsNbnyWJV2HBhsoNrJTRGLSWg6sn2,Elite,2617.8263258476177,1.0,no activity data found,,no_data
5Ebj8fmkeANBMKvfWsJZocY3WskHZvB5uZVkgYaiBwRJ,Elite,1348.4122132975037,1.0,no activity data found,,no_data
GjQv1E2ScNpyK4krCt29BQECC2UKs9g7QJNKLECoC94k,Elite,56.84009185363682,1.0,no activity data found,,no_data
AwsX6Exekz97AvxbgNAY9VFLM38qqkMPWehUjnnsztJS,Elite,174.5603522716986,0.85,no activity data found,,no_data
3ENT3K8JfPrFiJNKoZSyNBD7eAkDM1hUyE14VdQNkEHL,Elite,96.0907424147426,1.0,no activity data found,,no_data
8PmvCw2UbStrsmeFXrjbUNMMeK5E6ZXu9KgyEBMG8g8A,Elite,17604.033106478822,1.0,no activity data found,,no_data
2TTmax9TsmrAAkypvd7D74J6ap8EL5zXJDky1qrjWFfn,Elite,146.76230497527825,1.0,no activity data found,,no_data
AgTM7bcPQo2kkru8o2igeiwbAjJY2bubEHHZUQPRhyqG,Elite,1031.2061346923092,1.0,no activity data found,,no_data
8wb7gkUFB8BdX8fHSzKvaFHaaiHV835j6TJEBAz39Sf8,Elite,11842.76058216625,1.0,no activity data found,,no_data
