wallet_address,source,roi_pct,median_roi_pct,profit_token_ratio,trade_frequency,roi_per_trade,x10_ratio,x20_ratio,x50_ratio,x100_ratio,median_hold_time,profit_per_hold_second,cluster,cluster_label,cluster_name,roi_final,priority_score,tier,strategy_bucket
8BMyxovHnddzpJq5VNr2iPsEoVtubHWwYz8t7rN38Wpd,dex,23558.859262072456,26820.278092715234,1.0,84.0,280.4626102627673,0.0,0.05263157894736842,0.0,0.2631578947368421,1631.0,14.444426279627502,0,cluster_0,Low-frequency Snipers,23558.859262072456,0.6794185698523175,Elite,Low-frequency Snipers - Elite
6Sr8MHVnr6DUUhNwKNmAytUEKqaKLPEcpfbmMMgoZZjK,dex,6579.680754835663,7042.07722430122,1.0,52.0,126.53232220837813,0.0,0.0,1.0,0.0,1075.0,6.120633260312244,0,cluster_0,Low-frequency Snipers,6579.680754835663,0.455170329690752,Elite,Low-frequency Snipers - Elite
96hdcndTARFNUxrJMX4Mna3jkoewajysGu9rHxp6Ud2C,pumpfun,133.35036083255477,,0.6,42.0,3.175008591251304,0.0,0.1111111111111111,0.0,0.1111111111111111,,0.0,1,cluster_1,Dormant/Legacy,133.35036083255477,0.20291805800251936,High-Quality,Dormant/Legacy - High-Quality
4CqecFud362LKgALvChyhj6276he3Sy8yKim1uvFNV1m,pumpfun,53.21272389384693,,0.6666666666666666,8.666666666666666,1.0233216133432101,0.0,0.0,0.0,0.0,,0.0,1,cluster_1,Dormant/Legacy,53.21272389384693,0.18779551348344176,High-Quality,Dormant/Legacy - High-Quality
2Q6EpVa35UAZ29fPLAZMqx69St2ZH2tpCYgdfq48h1uN,pumpfun,83.66666617490358,,0.6,12.5,1.6733333234980716,0.0,0.0,0.0,0.16666666666666666,,0.0,1,cluster_1,Dormant/Legacy,83.66666617490358,0.17696694205948454,High-Quality,Dormant/Legacy - High-Quality
